1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,R8,0,0,0,0,0,0,0,0,3,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,1
1,R10,0,0,0,P,0,0,0,0,F,0,0,3,3,3,0,0,0,0,0,0,3,0,1
1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,L5,1
1,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,3,1
1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,F,0,0,3,3,3,1
1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,3,3,3,3,3,3,3,1
1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,G,0,0,0,1
1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1
1,0,0,0,3,3,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1
1,0,0,0,0,3,0,0,0,0,3,F,0,U6,0,0,3,0,0,0,0,0,0,0,1
1,0,0,0,0,3,0,0,0,0,3,3,3,3,3,3,3,0,0,0,0,0,0,0,1
1,0,F,U1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U3,0,F,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
