1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,G,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,R4,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1
1,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4,4,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1
1,4,0,0,0,0,0,0,0,4,4,0,0,0,4,4,0,0,0,0,0,4,0,0,1
1,4,F,0,0,0,0,0,L4,4,0,0,0,0,0,4,4,0,0,0,0,4,0,0,1
1,4,4,4,0,4,4,4,4,4,0,0,0,0,0,4,4,4,0,0,0,4,0,0,1
1,0,0,0,0,0,0,0,0,4,P,0,U3,0,F,4,4,4,4,0,0,4,0,0,1
1,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
1,0,0,0,U5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
1,F,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,L9,4,0,0,1
1,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
1,4,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,F,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
